#TICID,Teff,SpT,TESS sectors,Flares,Rotation,ftic,Lbol,Prot,error_Prot,Amplitude,error_Amplitude,FAP,U,V,W,U_LSR,V_LSR,W_LSR,eU,eV,eW,RVReference,GalacticPopulation,Probability
71581249,2856,M5.8,"6,33",Yes,Yes,0.01348,2.769E+030,0.3398,0.00015,0.0019,0.00002,5.78E-30,5.821,-4.29,-7.869,15.401,6.23,-0.859,0.859,0.007,0.011,SIMBAD,THIN-DISK,0.989
114742401,2132,L0.8,8,No,No,0.48982,,,,,,,17.748,-8.787,-1.096,27.328,1.733,5.914,0.329,1.679,0.599,SIMBAD,THIN-DISK,0.987
117733581,2863,M5.8,"5,32",Yes,Yes,0.02104,2.079E+030,0.6252,0.00051,0.0019,0.00004,<<1E-310,-45.616,-16.032,-18.171,-36.036,-5.512,-11.161,0.618,0.615,0.837,SIMBAD,THIN-DISK,0.982
29959288,2682,M7,"4,31",No,No,0.00017,,,,,,,20.571,-20.556,-10.836,30.151,-10.036,-3.826,0.329,0.317,1.74,SIMBAD,THIN-DISK,0.987
308773845,2778,M6.3,35,Yes,No,0.56702,1.677E+030,,,,,,-39.796,-18.631,8.355,-30.216,-8.111,15.365,0.097,2.508,1.533,SIMBAD,THIN-DISK,0.98
270218775,2778,M6.3,"2,29",Yes,No,0.00135,2.415E+030,,,,,,18.4,-44.521,-10.303,27.98,-34.001,-3.293,0.054,0.036,0.008,SIMBAD,THIN-DISK,0.979
380532990,2032,L1.5,"8,35",No,No,0.0518,,,,,,,20.752,-96.333,4.214,30.332,-85.813,11.224,0.401,1.806,0.752,SIMBAD,THIN-DISK,0.996
406479664,2876,M5.7,"4,31",Yes,Yes,0.0073,2.669E+030,1.5576,0.00315,0.0051,0.0001,<<1E-310,-7.129,-8.985,8.475,2.451,1.535,15.485,0.69,0.016,0.014,SIMBAD,THIN-DISK,0.985
49306639,2899,M5.6,"6,7,33",Yes,Yes,0.0308,3.436E+030,1.0285,0.00138,0.0056,0.00005,<<1E-310,-20.619,-21.658,-21.35,-11.039,-11.138,-14.34,0.468,1.353,0.312,GAIA-DR3,THIN-DISK,0.984
5630425,2687,M7,"10,36",Yes,No,0.14471,1.404E+030,,,,,,-15.868,-3.626,-19.483,-6.288,6.894,-12.473,0.6,2.241,1.869,SIMBAD,THIN-DISK,0.987
423319208,2539,M8,35,No,No,0.00805,,,,,,,-15.284,-49.989,25.301,-5.704,-39.469,32.311,4.583,3.195,7.761,GAIA-DR3,THIN-DISK,0.961
415839928,2647,M7.2,10,No,No,0.04587,,,,,,,16.841,-23.42,-11.842,26.421,-12.9,-4.832,0.683,1.211,1.255,SIMBAD,THIN-DISK,0.988
441000085,2765,M6.4,"11,38",Yes,Yes,0.01868,1.61E+030,0.1651,0.00004,0.0075,0.00023,7.97E-139,-39.318,-16.83,-4.89,-29.738,-6.31,2.12,1.01,0.64,0.975,SIMBAD,THIN-DISK,0.986
942944661,2888,M5.6,36,Yes,Yes,0.70789,2.364E+030,1.3601,0.07714,0.0062,0.00003,<<1E-310,,,,,,,,,,,,
32704517,2605,M7.5,"32,33",No,No,0.02314,,,,,,,40.706,-57.108,-14.369,50.286,-46.588,-7.359,0.395,1.376,0.833,SIMBAD,THIN-DISK,0.975
167670065,1815,L3.1,11,No,No,3.68909,,,,,,,618.904,752.589,-115.334,628.484,763.109,-108.324,6335.009,7767.445,1207.271,SIMBAD,HALO,1
3723412,2719,M6.8,39,Yes,No,0.70148,1.555E+030,,,,,,-6.25,-30.235,-19.087,3.33,-19.715,-12.077,0.654,0.095,0.061,SIMBAD,THIN-DISK,0.984
175516858,2950,M5.2,"3,4,30,31",No,No,0.00849,,,,,,,55.743,-0.918,-12.681,65.323,9.602,-5.671,0.514,0.001,0.004,SIMBAD,THIN-DISK,0.978
22535327,2905,M5.5,"7,33,34",Yes,Yes,0.03204,3.71E+030,1.6413,0.0035,0.0043,0.00003,<<1E-310,61.345,-22.523,0.478,70.925,-12.003,7.488,0.636,0.013,0.003,SIMBAD,THIN-DISK,0.972
44568897,2802,M6.2,"9,35,36",Yes,Yes,0.03228,2.471E+030,0.7812,0.00079,0.0021,0.00005,8.6E-277,1.983,-2.239,-11.041,11.563,8.281,-4.031,0.339,0.001,0.006,SIMBAD,THIN-DISK,0.988
1053225430,2994,M5,"11,38",Yes,Yes,1.3399,3.259E+030,0.2845,0.00011,0.0033,0.00001,<<1E-310,-30.605,-12.79,2.782,-21.025,-2.27,9.792,1.158,1.468,0.749,GAIA-DR3,THIN-DISK,0.987
459751104,2849,M5.9,"36,37",No,No,0.50311,,,,,,,,,,,,,,,,,,
248223026,2517,M8.2,"10,11,37",Yes,Yes,0.01513,7.325E+029,1.4844,0.00286,0.0028,0.00002,<<1E-310,-92.178,-71.828,-17.807,-82.598,-61.308,-10.797,25.949,19.873,5.008,SIMBAD,THIN-DISK,0.705
1819197568,2936,M5.3,13,No,No,67.7922,,,,,,,,,,,,,,,,,,
79611981,3017,M4.8,"3,4,30,31",Yes,No,0.00077,5.581E+030,,,,,,-0.605,-12.585,7.378,8.975,-2.065,14.388,0.454,0.131,0.181,GAIA-DR3,THIN-DISK,0.985
209066156,2749,M6.5,38,No,No,3.2364,,,,,,,,,,,,,,,,,,
387191562,2757,M6.5,27,No,No,17.48922,,,,,,,-10.094,-36.001,3.088,-0.514,-25.481,10.098,0.377,0.11,0.012,SIMBAD,THIN-DISK,0.983
320207059,2741,M6.6,27,No,No,0.02981,,,,,,,,,,,,,,,,,,
176935123,2918,M5.4,"1,2,4,5,6,7,8,9,10,11,12,27,28,29,31,32,34,35,36,37,38,39",No,No,0.00404,,,,,,,37.156,-26.352,28.814,46.736,-15.832,35.824,0.109,0.875,0.425,GAIA-DR3,THIN-DISK,0.91
90452897,2784,M6.3,"35,36",Yes,No,0.88181,1.773E+030,,,,,,-43.764,-0.693,2.332,-34.184,9.827,9.342,0.383,0.001,0.006,SIMBAD,THIN-DISK,0.985
146159736,2624,M7.4,38,No,Yes,1.9485,,0.3932,0.00578,0.0338,0.00102,5.47E-121,-45.044,-66.398,-14.663,-35.464,-55.878,-7.653,75.564,111.651,25.603,SIMBAD,THIN-DISK,0.909
78772202,2861,M5.8,"35,36",Yes,Yes,0.74969,2.471E+030,0.134,0.00036,0.021,0.00009,<<1E-310,-21.354,-0.055,-0.827,-11.774,10.465,6.183,0.337,0,0.004,SIMBAD,THIN-DISK,0.988
201688405,2829,M6,"13,27",Yes,Yes,0.01865,2.388E+030,0.6942,0.00116,0.0039,0.00009,6.05E-210,-12.068,-28.674,-5.705,-2.488,-18.154,1.305,0.417,0.027,0.006,SIMBAD,THIN-DISK,0.988
326160197,2681,M7,"11,38",No,Yes,2.19154,,0.2214,0.00006,0.0146,0.00059,1.47E-122,-52.318,-31.816,-1.777,-42.738,-21.296,5.233,25.53,15.53,3.296,SIMBAD,THIN-DISK,0.981
381983159,2900,M5.5,13,No,Yes,0.11886,,1.3974,0.06854,0.0019,0.00002,2.22E-163,-30.058,-20.555,-27.704,-20.478,-10.035,-20.694,0.295,0.01,0.014,SIMBAD,THIN-DISK,0.979
405981059,2953,M5.2,"11,37,38",No,Yes,0.17948,,0.1947,0.00005,0.0113,0.00011,<<1E-310,-32.68,-21.789,1.161,-23.1,-11.269,8.171,20.998,14,2.685,SIMBAD,THIN-DISK,0.986
317021872,2793,M6.2,27,No,No,0.00472,,,,,,,3.975,-9.844,-14.855,13.555,0.676,-7.845,1.008,1.114,1.262,SIMBAD,THIN-DISK,0.987
394356010,2911,M5.5,"1,12,13,27,28,39",Yes,No,0.15152,3.193E+030,,,,,,-8.807,-3.027,-1.719,0.773,7.493,5.291,0.113,0.004,0.004,SIMBAD,THIN-DISK,0.989
278199738,2827,M6,"4,7,11,12,13,27,34,37,38,39",No,No,0.00582,,,,,,,-60.599,-16.682,-15.871,-51.019,-6.162,-8.861,0.163,0.035,0.034,SIMBAD,THIN-DISK,0.982
220429097,2780,M6.3,"1,2,3,5,6,7,8,9,10,11,12,13,27,28,29,30,31,32,33,35,36,37,38,39",Yes,Yes,0.02249,1.915E+030,0.4959,0.00022,0.0021,0,<<1E-310,58.83,0.094,-3.629,68.41,10.614,3.381,0.449,0.003,0.004,SIMBAD,THIN-DISK,0.976
389051009,2889,M5.6,"1,27,28",Yes,Yes,0.00168,2.992E+030,0.1431,0.00003,0.0025,0.00004,<<1E-310,-5.271,8.755,-8.913,4.309,19.275,-1.903,0.146,0.005,0.005,SIMBAD,THIN-DISK,0.987
808442168,2925,M5.4,"8,9,10,35,36,37",Yes,Yes,0.88958,2.128E+030,0.1129,0.00002,0.0073,0.00001,<<1E-310,,,,,,,,,,,,
273369281,2944,M5.3,"1,13,27,28",Yes,Yes,0.00059,4.254E+030,0.6486,0.00055,0.0033,0.00002,<<1E-310,15.764,-0.229,-18.819,25.344,10.291,-11.809,13.824,16.509,18.856,GAIA-DR3,THIN-DISK,0.981
277539431,2964,M5.2,"12,37,39",Yes,Yes,0.06661,2.663E+030,0.1899,0.00005,0.0088,0.00004,<<1E-310,12.596,7.832,-7.393,22.176,18.352,-0.383,0.096,0.051,0.057,SIMBAD,THIN-DISK,0.986
31381302,2923,M5.4,"1,2,3,4,5,6,7,8,9,10,11,12,13,27,28,29,30,31,32,33,34,35,36,37,38,39",Yes,Yes,0.25919,3.337E+030,0.1652,0.00002,0.0068,0,<<1E-310,-21.056,-4.156,-0.65,-11.476,6.364,6.36,0.277,0.002,0.002,SIMBAD,THIN-DISK,0.988
407882514,2847,M5.9,"27,39",No,Yes,0.00504,,0.1777,0.00009,0.003,0.00001,1.77E-115,-16.311,-16.126,2.308,-6.731,-5.606,9.318,0.113,0.013,0.004,SIMBAD,THIN-DISK,0.988
29780677,2923,M5.4,"1,2,3,4,5,6,7,8,9,10,11,12,13,27,28,29,30,31,32,33,34,35,36,37,38,39",Yes,Yes,0.00307,3.524E+030,1.2293,0.00136,0.0029,0.00001,<<1E-310,-51.732,-8.956,-3.583,-42.152,1.564,3.427,0.28,0.007,0.004,SIMBAD,THIN-DISK,0.986
60983539,2881,M5.7,35,No,Yes,0.01224,,1.1504,0.05519,0.0015,0.00007,2.43E-19,7.005,-5.46,-2.679,16.585,5.06,4.331,0.497,0.007,0.005,SIMBAD,THIN-DISK,0.988
111898820,2974,M5.1,39,Yes,Yes,1.31379,4.02E+030,0.2291,0.00204,0.0053,0.00004,<<1E-310,0.15,11.119,-7.008,9.73,21.639,0.002,0.74,0.005,0.004,SIMBAD,THIN-DISK,0.986
230741378,2829,M6,41,Yes,Yes,0.22524,2.291E+030,0.0844,0.00027,0.0076,0.00008,8.73E-243,120.27,-13.627,-26.716,129.85,-3.107,-19.706,81.585,26.696,21.654,SIMBAD,THIN-DISK,0.728
22913463,2613,M7.5,38,Yes,No,0.0503,1.45E+030,,,,,,5.89,11.899,-5.954,15.47,22.419,1.056,2.793,5.274,2.959,SIMBAD,THIN-DISK,0.985
12774230,2716,M6.8,42,No,No,0.28829,,,,,,,,,,,,,,,,,,
4609881,2940,M5.3,42,No,Yes,0.00066,,0.1269,0.00072,0.005,0.00004,3.04E-244,-23.044,-20.733,6.265,-13.464,-10.213,13.275,0.209,0.955,1.707,SIMBAD,THIN-DISK,0.986
471016474,3007,M4.9,42,Yes,No,1.26843,4.026E+030,,,,,,,,,,,,,,,,,
408413037,2724,M6.7,42,No,No,0.00047,,,,,,,-46.382,2.946,8.151,-36.802,13.466,15.161,0.081,0.007,0.013,SIMBAD,THIN-DISK,0.982
257841489,2459,M8.6,42,No,No,0.03785,,,,,,,-13.817,-57.083,-14.336,-4.237,-46.563,-7.326,0.559,0.24,0.061,SIMBAD,THIN-DISK,0.958
257870150,2744,M6.6,43,Yes,No,0.00115,2.215E+030,,,,,,-65.574,-73.048,-54.687,-55.994,-62.528,-47.677,1.322,1.366,2.973,SIMBAD,THICK-DISK,0.938
60987924,2760,M6.5,"42,43",Yes,No,0.00026,2.411E+030,,,,,,3.433,10.494,3.588,13.013,21.014,10.598,0.465,0.016,0.007,SIMBAD,THIN-DISK,0.984
69850453,2767,M6.4,"43,44",Yes,Yes,0.0267,1.406E+030,4.6382,0.42596,0.0119,0.00006,<<1E-310,33.045,-20.392,-22.48,42.625,-9.872,-15.47,1.656,0.176,0.476,SIMBAD,THIN-DISK,0.98
348769612,2974,M5.1,"42,43,44",No,No,0.12564,,,,,,,9.028,1.903,-21.325,18.608,12.423,-14.315,0.712,0.004,0.016,SIMBAD,THIN-DISK,0.983
58998044,3042,M4.7,"44,45",Yes,No,1.23417,4.838E+030,,,,,,7.229,-22.241,-6.404,16.809,-11.721,0.606,0.835,0.449,0.16,GAIA-DR3,THIN-DISK,0.988
175241416,2825,M6,"44,46",Yes,No,0.00454,2.175E+030,,,,,,-73.369,-47.741,-14.132,-63.789,-37.221,-7.122,0.608,0.044,0.07,SIMBAD,THIN-DISK,0.983
16227031,2734,M6.7,"44,45,46",Yes,No,0.19043,1.638E+030,,,,,,-33.973,-50.261,-18.298,-24.393,-39.741,-11.288,0.901,0.439,0.4,SIMBAD,THIN-DISK,0.986
364981864,2517,M8.2,"45,46",Yes,No,0.0154,5.255E+029,,,,,,-20.552,-21.021,-12.2,-10.972,-10.501,-5.19,0.315,0.974,1.678,SIMBAD,THIN-DISK,0.988
377040202,2502,M8.3,"45,46",Yes,No,0.50386,5.561E+029,,,,,,24.409,-67.022,-12.988,33.989,-56.502,-5.978,0.547,1.098,1.376,SIMBAD,THIN-DISK,0.969
349987823,2768,M6.4,"45,46",No,Yes,0.00271,,0.4672,0.00421,0.0055,0.00016,9.07E-86,-10.555,-12.663,-14.326,-0.975,-2.143,-7.316,0.317,0.037,0.041,SIMBAD,THIN-DISK,0.988
365006789,2831,M6,"45,46",Yes,Yes,0.00826,2.858E+030,2.7073,0.13999,0.0009,0,<<1E-310,-28.276,-48.014,-13.301,-18.696,-37.494,-6.291,0.186,0.092,0.071,SIMBAD,THIN-DISK,0.983
301501433,2701,M6.9,"45,46",Yes,No,0.00354,1.49E+030,,,,,,-48.075,18.105,1.3,-38.495,28.625,8.31,0.169,0.038,0.006,SIMBAD,THIN-DISK,0.981
377172800,2274,M9.8,46,No,Yes,0.00122,,0.1795,0.00127,0.0235,0.00003,3.13E-110,-9.124,-9.224,-2.935,0.456,1.296,4.075,0.154,0.035,0.012,SIMBAD,THIN-DISK,0.989
380544811,2635,M7.3,"45,46",Yes,No,0.02274,9.501E+029,,,,,,57.26,-28.209,23.393,66.84,-17.689,30.403,0.159,1.068,1.69,SIMBAD,THIN-DISK,0.937
427580418,2539,M8,42,Yes,No,0.25708,1.339E+030,,,,,,-12.074,-26.457,11.221,-2.494,-15.937,18.231,0.733,0.558,0.247,SIMBAD,THIN-DISK,0.98
14436662,2813,M6.1,"44,45,46",Yes,No,0.2416,2.006E+030,,,,,,-36.217,-39.219,-16.487,-26.637,-28.699,-9.477,1.202,0.899,1.487,SIMBAD,THIN-DISK,0.986
203225829,2804,M6.2,"44,45,46",Yes,Yes,0.00392,2.068E+030,0.4389,0.00245,0.0033,0.00001,<<1E-310,-12.645,-19.487,-10.283,-3.065,-8.967,-3.273,0.533,0.011,0.018,SIMBAD,THIN-DISK,0.989
86019856,2321,M9.5,"44,45,46",No,No,0.22368,,,,,,,-50.238,-23.25,22.079,-40.658,-12.73,29.089,0.497,0.039,0.117,SIMBAD,THIN-DISK,0.954
