#TICID,Teff,SpT,TESS sectors,Flares,Rotation,ftic,Lbol,Prot,error_Prot,Amplitude,error_Amplitude,FAP,U,V,W,U_LSR,V_LSR,W_LSR,eU,eV,eW,RVReference,GalacticPopulation,Probability
159508739,2394,M9,"14,19,20,21,25,26",Yes,No,0.74987,3.788E+029,,,,,,-35.588,-17.883,2.499,-26.008,-7.363,9.509,0.146,0.042,0.012,SIMBAD,THIN-DISK,0.986
420130591,3029,M4.8,"14,15,16,17,18,19,20,21,22,23,24,25,26,40,41,47,48,49,50,51,52,53",Yes,No,0.03576,5.128E+030,,,,,,-28.208,-22.999,-16.928,-18.628,-12.479,-9.918,0.108,0.567,0.268,GAIA-DR3,THIN-DISK,0.988
232970271,2900,M5.5,"14,15,21,22",Yes,Yes,0.01921,3.258E+030,0.5105,0.00107,0.007,0.00002,<<1E-310,-29.913,-16.676,0.078,-20.333,-6.156,7.088,0.139,0.012,0.002,SIMBAD,THIN-DISK,0.988
198555502,2584,M7.7,"22,23,40,41,47,48,50,51",Yes,No,0.00028,7.884E+029,,,,,,-11.066,-16.022,15.272,-1.486,-5.502,22.282,0.332,0.035,0.034,SIMBAD,THIN-DISK,0.978
371080717,2612,M7.5,20,No,Yes,0.45424,,0.7136,0.0193,0.0047,0.00028,3.34E-42,-41.052,-11.435,4.106,-31.472,-0.915,11.116,0.676,0.025,0.046,SIMBAD,THIN-DISK,0.985
285002767,2112,L0.9,48,No,No,0.12095,,,,,,,-11.844,-26.257,1.723,-2.264,-15.737,8.733,0.111,0.054,0.006,SIMBAD,THIN-DISK,0.986
148673115,2942,M5.3,"21,22,48",No,No,2.62022,,,,,,,48.174,-32.434,-44.682,57.754,-21.914,-37.672,0.068,0.019,0.02,SIMBAD,THIN-DISK,0.879
1001036250,2905,M5.5,"16,23,49,50",Yes,Yes,0.24496,2.164E+030,0.4766,0.00023,0.0043,0.00014,1.21E-220,,,,,,,,,,,,
187092382,2901,M5.5,19,Yes,Yes,0.01323,3.11E+030,0.5665,0.01277,0.0077,0.0001,<<1E-310,-4.02,11.771,-11.699,5.56,22.291,-4.689,2.818,2.711,1.069,SIMBAD,THIN-DISK,0.987
24108819,2941,M5.3,"24,25",No,No,0.00585,,,,,,,-41.689,-54.238,5.331,-32.109,-43.718,12.341,0.597,0.023,0.028,SIMBAD,THIN-DISK,0.981
441706467,2687,M7,"16,22,23,49,50",No,Yes,0.00058,,0.4828,0.00107,0.0014,0.00005,6.81E-28,7.265,42.884,8.843,16.845,53.404,15.853,0.336,0.034,0.035,SIMBAD,THIN-DISK,0.967
286447344,2818,M6.1,19,No,Yes,0.02116,,0.7278,0.02108,0.0046,0.00027,7.10397407620674E-29,-45.879,-4.576,-19.817,-36.299,5.944,-12.807,6.55,6.523,1.359,GAIA-DR3,THIN-DISK,0.982
1042982,2807,M6.2,"21,48",Yes,No,0.0488,1.762E+030,,,,,,-14.153,-50.831,8.082,-4.573,-40.311,15.092,0.283,0.062,0.018,SIMBAD,THIN-DISK,0.975
298554585,2176,L0.5,"14,25,26,40,41",No,No,0.76732,,,,,,,9.058,-0.618,-3.27,18.638,9.902,3.74,0.385,0.4,0.21,SIMBAD,THIN-DISK,0.988
138860476,2501,M8.3,22,No,No,2.64568,,,,,,,-47.353,-20.371,7.264,-37.773,-9.851,14.274,0.163,0.058,0.033,SIMBAD,THIN-DISK,0.982
156691155,2944,M5.3,"23,50",Yes,No,0.00108,3.252E+030,,,,,,-1.755,-3.138,1.273,7.825,7.382,8.283,0.515,0.005,0.002,SIMBAD,THIN-DISK,0.988
125529556,2756,M7.5,"21,48",No,No,0.0023,,,,,,,-28.723,-10.62,-26.988,-19.143,-0.1,-19.978,0.394,0.025,0.06,SIMBAD,THIN-DISK,0.98
270470901,2789,M6.3,"8,34",Yes,No,0.01013,2.073E+030,,,,,,-50.569,-33.493,-20.014,-40.989,-22.973,-13.004,0.576,1.32,0.985,SIMBAD,THIN-DISK,0.984
165945176,2839,M6,"23,49",No,No,0.0064,,,,,,,-47.863,13.339,-0.76,-38.283,23.859,6.25,0.254,0.014,0.001,SIMBAD,THIN-DISK,0.985
87302025,2866,M5.8,19,No,Yes,0.28684,,0.1738,0.00121,0.0024,0.00016,1.55E-30,13.187,-83.808,-46.299,22.767,-73.288,-39.289,17.058,18.494,8.61,SIMBAD,THIN-DISK,0.853
357237802,2169,L0.5,48,No,Yes,0.00176,,0.4565,0.00848,0.0198,0.00138,1.55E-30,-61.956,-73.224,-9.398,-52.376,-62.704,-2.388,1.098,1.39,0.257,SIMBAD,THIN-DISK,0.865
469392302,2927,M5.4,"15,16,17,41",Yes,No,0.34994,3.336E+030,,,,,,21.452,4.651,-17.096,31.032,15.171,-10.086,0.348,0.003,0.01,SIMBAD,THIN-DISK,0.984
436924555,2700,M6.9,"42,43,44",Yes,Yes,0.00997,1.783E+030,1.2758,0.02116,0.003,0.00006,2.78E-29,-68.279,-3.449,8.812,-58.699,7.071,15.822,0.95,0.615,0.759,SIMBAD,THIN-DISK,0.978
281706120,2196,L0.4,"45,46",No,Yes,0.00446,,0.2365,0.00107,0.006,0.00039,1.57E-14,-18.747,-21.172,-21.239,-9.167,-10.652,-14.229,0.211,0.052,0.052,SIMBAD,THIN-DISK,0.984
365064283,2745,M6.6,"23,46,50",Yes,No,0.00279,1.799E+030,,,,,,-13.426,-13.36,9.549,-3.846,-2.84,16.559,0.392,0.036,0.011,SIMBAD,THIN-DISK,0.984
87378424,2826,M6,19,No,No,0.04286,,,,,,,-13.879,-25.186,-7.33,-4.299,-14.666,-0.32,0.478,0.02,0.006,SIMBAD,THIN-DISK,0.988
