#TICID  tstart  tend  ED  Amplitude  Ebol Cadence
175241416 2578.346 2578.356 57.123 0.168 1.242E+32 20
175241416 2570.273 2570.284 59.181 0.101 1.287E+32 20
175241416 2576.554 2576.567 86.253 0.269 1.876E+32 20
175241416 2570.650 2570.662 126.658 0.391 2.754E+32 20
175241416 2559.567 2559.582 148.942 0.310 3.239E+32 20
175241416 2559.755 2559.770 166.518 0.351 3.621E+32 20
175241416 2574.647 2574.671 185.463 0.362 4.033E+32 20
175241416 2561.556 2561.581 186.286 0.215 4.051E+32 20
175241416 2559.230 2559.273 284.880 0.176 6.195E+32 20
175241416 2572.497 2572.515 583.585 1.951 1.269E+33 20
203225829 2503.307 2503.309 5.780 0.062 1.195E+31 20
203225829 2510.379 2510.383 6.059 0.023 1.253E+31 20
203225829 2523.672 2523.676 12.419 0.068 2.568E+31 20
203225829 2507.962 2507.970 13.741 0.030 2.841E+31 20
203225829 2520.415 2520.419 13.958 0.090 2.886E+31 20
203225829 2509.734 2509.740 17.411 0.073 3.600E+31 20
203225829 2505.533 2505.544 28.991 0.063 5.994E+31 20
203225829 2519.345 2519.356 30.285 0.072 6.261E+31 20
203225829 2547.663 2547.663 1.759 0.033 3.636E+30 20
203225829 2534.287 2534.288 2.534 0.039 5.240E+30 20
203225829 2544.825 2544.826 2.650 0.042 5.479E+30 20
203225829 2549.406 2549.407 2.799 0.060 5.787E+30 20
203225829 2530.376 2530.376 2.878 0.052 5.949E+30 20
203225829 2543.478 2543.479 7.636 0.135 1.579E+31 20
203225829 2541.908 2541.912 9.301 0.054 1.923E+31 20
203225829 2545.457 2545.463 15.581 0.052 3.221E+31 20
203225829 2545.470 2545.478 17.859 0.063 3.692E+31 20
203225829 2529.154 2529.164 20.526 0.041 4.244E+31 20
203225829 2528.999 2529.004 21.629 0.082 4.472E+31 20
203225829 2529.435 2529.449 23.939 0.038 4.949E+31 20
203225829 2542.458 2542.465 38.921 0.230 8.047E+31 20
203225829 2571.966 2571.967 2.999 0.051 6.200E+30 20
203225829 2557.244 2557.245 3.126 0.059 6.463E+30 20
203225829 2570.537 2570.538 3.205 0.046 6.626E+30 20
203225829 2554.882 2554.886 5.176 0.016 1.070E+31 20
203225829 2562.757 2562.761 6.771 0.025 1.400E+31 20
203225829 2559.189 2559.193 7.775 0.028 1.607E+31 20
203225829 2571.330 2571.334 7.868 0.031 1.627E+31 20
203225829 2558.954 2558.958 7.895 0.027 1.632E+31 20
203225829 2560.179 2560.183 11.133 0.061 2.302E+31 20
203225829 2572.232 2572.238 14.312 0.050 2.959E+31 20
203225829 2559.318 2559.329 21.807 0.060 4.509E+31 20
203225829 2567.895 2567.908 123.176 0.510 2.547E+32 20
203225829 2557.815 2557.856 297.423 0.525 6.149E+32 20
399044334 2660.244 2660.248 63.207 0.319 1.468E+32 120
399044334 2558.453 2558.462 195.964 0.758 4.550E+32 120
16227031 2536.872 2536.873 37.575 0.585 6.156E+31 20
436924555 2519.623 2519.627 62.292 0.267 1.111E+32 120
436924555 2475.149 2475.153 85.209 0.302 1.519E+32 120
436924555 2497.474 2497.483 376.530 1.118 6.714E+32 120
436924555 2517.785 2517.795 393.879 0.944 7.023E+32 120
3664898 1875.114 1875.137 206.477 0.795 4.258E+32 120
3664898 1878.225 1878.243 77.799 0.232 1.604E+32 120
3664898 1890.519 1890.534 71.246 0.224 1.469E+32 120
3664898 1877.679 1877.687 18.642 0.062 3.844E+31 120
365006789 2545.318 2545.485 531.046 0.522 1.518E+33 20
365006789 2536.028 2536.069 91.337 0.096 2.611E+32 20
365006789 2543.276 2543.325 88.850 0.074 2.539E+32 20
365006789 2542.009 2542.034 46.832 0.106 1.339E+32 20
365006789 2535.948 2535.992 45.757 0.024 1.308E+32 20
365006789 2543.015 2543.030 27.946 0.105 7.987E+31 20
365006789 2527.083 2527.102 23.133 0.051 6.612E+31 20
365006789 2532.054 2532.068 18.140 0.042 5.185E+31 20
365006789 2544.929 2544.942 13.200 0.045 3.773E+31 20
365006789 2542.718 2542.733 8.450 0.015 2.415E+31 20
365006789 2546.290 2546.301 6.332 0.012 1.810E+31 20
365006789 2542.126 2542.134 5.459 0.014 1.560E+31 20
365006789 2541.577 2541.589 5.265 0.010 1.505E+31 20
365006789 2531.885 2531.892 4.382 0.018 1.252E+31 20
365006789 2529.253 2529.261 4.309 0.012 1.232E+31 20
365006789 2543.243 2543.248 3.715 0.018 1.062E+31 20
365006789 2535.487 2535.492 3.305 0.010 9.447E+30 20
365006789 2537.138 2537.145 3.295 0.008 9.418E+30 20
365006789 2546.977 2546.981 3.123 0.016 8.927E+30 20
365006789 2533.775 2533.781 2.947 0.008 8.422E+30 20
365006789 2539.965 2539.969 2.843 0.011 8.126E+30 20
365006789 2548.610 2548.616 2.449 0.008 7.000E+30 20
365006789 2546.425 2546.431 2.441 0.009 6.976E+30 20
365006789 2541.879 2541.883 2.207 0.007 6.308E+30 20
365006789 2541.494 2541.500 2.165 0.006 6.189E+30 20
365006789 2544.550 2544.555 2.099 0.007 5.999E+30 20
365006789 2530.362 2530.367 2.061 0.010 5.891E+30 20
365006789 2542.305 2542.309 1.985 0.008 5.674E+30 20
365006789 2561.706 2561.759 156.953 0.231 4.486E+32 20
365006789 2563.335 2563.399 108.886 0.075 3.112E+32 20
365006789 2557.291 2557.315 84.152 0.361 2.405E+32 20
365006789 2568.604 2568.629 81.458 0.138 2.328E+32 20
365006789 2574.531 2574.551 20.280 0.033 5.796E+31 20
365006789 2557.186 2557.203 18.495 0.036 5.286E+31 20
365006789 2573.447 2573.468 13.981 0.013 3.996E+31 20
365006789 2557.004 2557.019 12.693 0.019 3.628E+31 20
365006789 2568.987 2569.007 10.623 0.010 3.036E+31 20
365006789 2555.127 2555.144 8.375 0.015 2.394E+31 20
365006789 2555.241 2555.252 7.965 0.028 2.277E+31 20
365006789 2567.488 2567.497 7.720 0.018 2.206E+31 20
365006789 2576.284 2576.293 6.473 0.018 1.850E+31 20
365006789 2555.782 2555.794 5.430 0.009 1.552E+31 20
365006789 2577.398 2577.409 5.292 0.011 1.512E+31 20
365006789 2577.155 2577.163 5.268 0.012 1.506E+31 20
365006789 2558.169 2558.179 4.804 0.008 1.373E+31 20
365006789 2569.262 2569.269 4.263 0.014 1.218E+31 20
365006789 2578.644 2578.649 3.662 0.016 1.047E+31 20
365006789 2567.436 2567.444 3.474 0.009 9.928E+30 20
365006789 2556.641 2556.650 3.325 0.008 9.502E+30 20
365006789 2564.459 2564.464 2.564 0.009 7.329E+30 20
365006789 2574.149 2574.153 2.511 0.013 7.176E+30 20
365006789 2559.835 2559.839 2.483 0.013 7.096E+30 20
365006789 2556.719 2556.723 2.462 0.011 7.038E+30 20
365006789 2578.074 2578.078 2.452 0.009 7.007E+30 20
365006789 2568.087 2568.091 2.075 0.008 5.931E+30 20
69850453 2508.546 2508.565 583.047 1.778 8.197E+32 120
69850453 2481.127 2481.151 574.173 1.139 8.072E+32 120
69850453 2503.792 2503.810 450.038 1.104 6.327E+32 120
69850453 2493.878 2493.903 426.328 0.788 5.994E+32 120
69850453 2508.613 2508.642 414.712 0.422 5.831E+32 120
69850453 2521.443 2521.486 367.813 0.215 5.171E+32 120
69850453 2504.817 2504.839 313.207 0.385 4.403E+32 120
69850453 2501.523 2501.551 243.318 0.289 3.421E+32 120
69850453 2490.018 2490.029 186.130 0.650 2.617E+32 120
69850453 2489.535 2489.547 147.022 0.360 2.067E+32 120
69850453 2521.355 2521.389 127.868 0.118 1.798E+32 120
69850453 2502.957 2502.971 108.726 0.420 1.529E+32 120
69850453 2517.427 2517.444 106.087 0.281 1.492E+32 120
69850453 2501.793 2501.802 96.557 0.371 1.358E+32 120
69850453 2479.664 2479.675 95.138 0.284 1.338E+32 120
69850453 2519.109 2519.116 85.558 0.241 1.203E+32 120
69850453 2509.635 2509.643 85.252 0.270 1.199E+32 120
69850453 2491.403 2491.410 75.975 0.240 1.068E+32 120
69850453 2493.582 2493.593 65.922 0.161 9.268E+31 120
69850453 2505.718 2505.733 65.410 0.077 9.196E+31 120
69850453 2505.206 2505.211 56.150 0.283 7.894E+31 120
69850453 2476.347 2476.353 45.048 0.198 6.333E+31 120
69850453 2502.601 2502.605 40.777 0.189 5.733E+31 120
69850453 2508.122 2508.128 39.439 0.125 5.545E+31 120
69850453 2521.940 2521.944 36.234 0.138 5.094E+31 120
69850453 2495.942 2495.948 31.829 0.103 4.475E+31 120
69850453 2518.541 2518.545 31.212 0.138 4.388E+31 120
69850453 2516.652 2516.656 30.624 0.111 4.306E+31 120
69850453 2516.374 2516.380 29.390 0.103 4.132E+31 120
69850453 2485.162 2485.166 20.656 0.092 2.904E+31 120
69850453 2503.825 2503.829 20.065 0.094 2.821E+31 120
69850453 2515.730 2515.735 20.034 0.052 2.817E+31 120
69850453 2506.645 2506.649 19.139 0.101 2.691E+31 120
69850453 2517.508 2517.513 17.384 0.060 2.444E+31 120
69850453 2477.329 2477.334 14.686 0.042 2.065E+31 120
281542064 1364.066 1364.083 629.345 2.093 1.203E+33 120
281542064 2063.878 2063.889 622.385 1.221 1.190E+33 120
281542064 2079.317 2079.327 340.965 1.673 6.518E+32 120
281542064 2092.495 2092.502 216.401 0.845 4.137E+32 120
281542064 2064.086 2064.090 74.970 0.417 1.433E+32 120
301501433 2553.489 2553.549 3745.970 1.254 5.580E+33 120
308773845 2259.260 2259.273 211.152 0.365 3.541E+32 120
366567664 1509.276 1509.280 199.816 1.093 2.348E+32 120
366567664 2536.282 2536.343 7922.281 10.101 9.309E+33 120
366567664 2249.316 2249.355 1533.512 2.237 1.802E+33 120
366567664 2239.858 2239.911 950.167 0.319 1.116E+33 120
366567664 2577.593 2577.606 411.861 1.463 4.839E+32 120
366567664 2529.178 2529.184 174.376 0.822 2.049E+32 120
366567664 2528.500 2528.505 173.388 0.666 2.037E+32 120
366567664 2515.869 2515.874 161.104 0.645 1.893E+32 120
366567664 1501.862 1501.867 139.588 0.831 1.640E+32 120
366567664 2553.943 2553.947 121.350 0.431 1.426E+32 120
366567664 1497.586 1497.590 116.380 0.645 1.367E+32 120
366567664 2564.008 2564.012 74.965 0.441 8.808E+31 120
366567664 2523.899 2523.906 66.201 0.123 7.778E+31 120
257870150 2494.050 2494.065 17.017 0.028 3.769E+31 120
257870150 2479.435 2479.444 16.281 0.080 3.606E+31 120
13270128 1810.741 1810.747 177.687 0.527 3.404E+32 120
13270128 1795.900 1795.905 103.254 0.435 1.978E+32 120
461654150 1862.626 1862.671 747.625 0.265 8.814E+32 120
461654150 1846.105 1846.127 605.184 0.685 7.135E+32 120
461654150 1860.975 1860.987 342.699 0.655 4.040E+32 120
461654150 1854.252 1854.265 243.021 0.397 2.865E+32 120
461654150 1868.344 1868.351 174.970 0.531 2.063E+32 120
230741378 2433.885 2433.889 92.400 0.417 2.117E+32 120
60987924 2498.163 2498.176 193.866 0.539 4.674E+32 120
60987924 2475.173 2475.193 165.369 0.215 3.987E+32 120
60987924 2453.272 2453.277 65.220 0.341 1.572E+32 120
60987924 2469.616 2469.620 45.271 0.235 1.092E+32 120
60987924 2482.967 2482.972 40.080 0.105 9.663E+31 120
60987924 2463.764 2463.768 37.588 0.138 9.063E+31 120
90452897 2305.139 2305.163 1244.796 3.270 2.207E+33 120
90452897 2278.571 2278.603 872.621 1.206 1.547E+33 120
90452897 2299.731 2299.754 678.291 1.219 1.203E+33 120
90452897 2276.510 2276.542 538.894 0.708 9.554E+32 120
90452897 2290.434 2290.453 420.098 0.643 7.448E+32 120
90452897 2264.575 2264.591 256.831 0.619 4.554E+32 120
90452897 2284.839 2284.849 192.631 0.507 3.415E+32 120
90452897 2256.615 2256.627 181.727 0.440 3.222E+32 120
90452897 2297.536 2297.540 75.324 0.285 1.335E+32 120
90452897 2287.632 2287.636 69.936 0.259 1.240E+32 120
287840802 2185.356 2185.365 356.523 0.862 7.980E+32 120
270470901 1524.776 1524.866 2006.078 0.399 4.158E+33 120
270470901 2250.255 2250.259 69.942 0.386 1.450E+32 120
270470901 2252.812 2252.831 503.636 1.281 1.044E+33 120
201688405 1681.909 1681.920 316.131 1.131 7.548E+32 120
201688405 1670.699 1670.707 167.466 0.537 3.998E+32 120
201688405 2043.466 2043.470 69.186 0.264 1.652E+32 120
201688405 2040.527 2040.532 56.210 0.214 1.342E+32 120
125835702 1604.250 1604.261 137.071 0.192 2.943E+32 120
125835702 2334.588 2334.610 853.825 2.188 1.833E+33 20
125835702 2334.523 2334.534 280.703 1.066 6.026E+32 20
125835702 2351.251 2351.262 125.697 0.210 2.699E+32 20
365064283 2561.048 2561.059 319.507 0.846 5.747E+32 120
1042982 1897.340 1897.409 5774.668 5.186 1.018E+34 120
1042982 1883.340 1883.345 77.484 0.232 1.365E+32 120
1042982 2621.405 2621.424 251.983 0.448 4.440E+32 120
1042982 2629.305 2629.317 137.773 0.243 2.428E+32 120
1042982 2612.895 2612.901 85.388 0.258 1.505E+32 120
44568897 2290.998 2291.003 25.145 0.074 6.213E+31 20
237091400 1960.355 1960.362 30.604 0.062 5.040E+31 120
201467079 2212.129 2212.136 54.944 0.238 1.639E+32 120
201467079 2222.908 2222.912 33.905 0.163 1.012E+32 120
201467079 2222.976 2222.982 31.957 0.084 9.534E+31 120
201467079 2220.464 2220.468 15.763 0.049 4.703E+31 120
201467079 2218.268 2218.272 14.696 0.047 4.384E+31 120
201467079 2227.257 2227.261 12.491 0.037 3.727E+31 120
121204333 2251.528 2251.538 93.433 0.271 2.067E+32 120
121204333 2244.881 2244.885 45.945 0.251 1.016E+32 120
30101427 1617.534 1617.538 18.151 0.071 4.590E+31 120
30101427 2323.760 2323.765 32.544 0.164 8.230E+31 20
270218775 2105.520 2105.557 279.537 0.127 6.751E+32 120
298907057 1452.854 1452.922 5474.012 12.457 7.103E+33 120
298907057 1451.588 1451.634 1125.955 0.885 1.461E+33 120
298907057 1458.858 1458.884 572.330 1.417 7.426E+32 120
298907057 1442.212 1442.242 378.219 0.422 4.907E+32 120
298907057 1446.245 1446.258 238.394 1.199 3.093E+32 120
298907057 1458.544 1458.552 74.704 0.229 9.693E+31 120
298907057 1447.141 1447.148 74.382 0.316 9.651E+31 120
298907057 1455.372 1455.387 54.120 0.049 7.022E+31 120
298907057 1438.655 1438.660 40.776 0.172 5.291E+31 120
298907057 1456.583 1456.587 30.438 0.107 3.949E+31 120
298907057 1440.915 1440.919 17.868 0.070 2.318E+31 120
298907057 2181.587 2181.616 298.185 0.990 3.869E+32 120
298907057 2179.581 2179.606 272.271 0.598 3.533E+32 120
298907057 2192.725 2192.745 191.344 0.281 2.483E+32 120
298907057 2180.016 2180.030 140.552 0.302 1.824E+32 120
298907057 2192.321 2192.331 75.047 0.254 9.737E+31 120
298907057 2175.041 2175.055 59.992 0.088 7.784E+31 120
298907057 2195.310 2195.316 56.313 0.204 7.307E+31 120
298907057 2175.124 2175.135 47.762 0.096 6.197E+31 120
298907057 2192.560 2192.566 36.817 0.175 4.777E+31 120
298907057 2193.282 2193.286 25.906 0.114 3.361E+31 120
298907057 2191.966 2191.971 17.241 0.048 2.237E+31 120
298907057 2196.389 2196.393 13.875 0.045 1.800E+31 120
298907057 2175.175 2175.180 9.977 0.028 1.295E+31 120
293520468 2257.057 2257.070 160.592 0.635 3.862E+32 20
320524973 2632.031 2632.049 425.024 1.003 6.697E+32 120
320524973 2749.128 2749.143 338.272 0.570 5.330E+32 120
320524973 2768.814 2768.821 122.611 0.589 1.932E+32 120
320524973 2675.949 2675.954 69.695 0.242 1.098E+32 120
320524973 2641.110 2641.115 53.627 0.189 8.450E+31 120
320524973 2583.797 2583.803 43.112 0.105 6.793E+31 120
22913463 2335.776 2335.783 78.003 0.253 1.131E+32 120
380544811 2570.135 2570.139 141.139 0.537 1.341E+32 120
5630425 2288.852 2288.856 15.575 0.046 2.187E+31 120
161662947 1972.584 1972.612 1257.344 2.051 1.547E+33 120
142944290 1414.170 1414.183 61.722 0.118 7.126E+31 120
336209523 2023.190 2023.233 2267.915 2.657 2.497E+33 120
336209523 2404.067 2404.079 325.218 1.006 3.581E+32 120
336209523 2439.266 2439.271 189.607 0.719 2.088E+32 120
336209523 2412.763 2412.767 122.642 0.726 1.350E+32 120
198555502 2416.018 2416.040 1118.783 2.163 8.820E+32 120
70555405 2115.919 2115.923 40.628 0.161 4.815E+31 120
70555405 2121.454 2121.459 39.244 0.116 4.651E+31 120
304392811 1379.626 1379.634 69.585 0.175 7.678E+31 120
154383758 1742.810 1742.817 53.020 0.219 7.739E+31 120
180724005 1365.208 1365.225 390.421 0.882 4.821E+32 120
180724005 1389.274 1389.282 65.975 0.202 8.147E+31 120
180724005 1399.936 1399.944 62.961 0.160 7.775E+31 120
180724005 1400.905 1400.911 31.501 0.129 3.890E+31 120
180724005 1393.388 1393.392 22.957 0.077 2.835E+31 120
180724005 2108.180 2108.189 85.743 0.284 1.059E+32 120
180724005 2092.541 2092.550 83.686 0.271 1.033E+32 120
180724005 2092.655 2092.661 17.124 0.041 2.115E+31 120
180724005 2092.709 2092.713 13.523 0.042 1.670E+31 120
377040202 2561.821 2561.856 1043.410 0.511 5.802E+32 120
377040202 2534.867 2534.885 560.284 0.489 3.116E+32 120
364981864 2571.629 2571.639 379.997 1.749 1.997E+32 120
902237947 2283.502 2283.527 1870.638 1.953 1.090E+33 120
902237947 2298.611 2298.620 961.241 4.646 5.600E+32 120
17992447 2630.758 2630.763 199.848 0.589 8.768E+31 120
17992447 2619.999 2620.003 365.029 1.789 1.602E+32 120
17992447 2630.054 2630.072 1200.198 1.597 5.266E+32 120
334937178 2305.620 2305.690 3918.196 1.033 1.591E+33 120
427580418 2469.510 2469.514 75.560 0.214 1.012E+32 120
307956653 1715.635 1715.788 9569.386 3.339 5.043E+33 120
307956653 2403.362 2403.381 1829.816 7.589 9.642E+32 120
307956653 2695.339 2695.365 1684.308 3.822 8.875E+32 120
307956653 2763.512 2763.520 698.747 3.156 3.682E+32 120
307956653 2646.398 2646.418 635.158 1.494 3.347E+32 120
307956653 1693.094 1693.101 565.510 2.206 2.980E+32 120
307956653 2590.291 2590.304 353.190 0.655 1.861E+32 120
307956653 2711.884 2711.893 331.133 1.218 1.745E+32 120
307956653 1712.460 1712.467 283.330 0.999 1.493E+32 120
307956653 2723.164 2723.169 270.192 1.196 1.424E+32 120
307956653 2671.361 2671.372 255.209 0.929 1.345E+32 120
307956653 2426.726 2426.737 249.758 0.440 1.316E+32 120
307956653 1837.580 1837.584 247.341 1.406 1.303E+32 120
307956653 2628.964 2628.975 243.973 0.558 1.286E+32 120
307956653 2677.736 2677.746 217.632 0.916 1.147E+32 120
307956653 1833.343 1833.348 146.362 0.526 7.713E+31 120
307956653 1834.083 1834.088 144.060 0.463 7.591E+31 120
307956653 2657.537 2657.544 140.263 0.426 7.391E+31 120
307956653 2620.241 2620.248 119.951 0.386 6.321E+31 120
307956653 2439.046 2439.050 111.665 0.526 5.884E+31 120
248223026 1615.870 1615.877 71.836 0.318 5.262E+31 120
248223026 2326.970 2326.983 95.664 0.131 7.008E+31 120
248223026 1573.208 1573.219 118.158 0.383 8.656E+31 120
248223026 1577.914 1577.942 537.340 0.982 3.936E+32 120
248223026 1586.002 1586.039 655.013 0.798 4.798E+32 120
248223026 1590.250 1590.350 8798.602 15.499 6.446E+33 120
159508739 1988.350 1988.357 1162.022 3.764 4.401E+32 120
159508739 2013.379 2013.384 821.279 3.714 3.111E+32 120
159508739 2007.350 2007.354 534.578 2.120 2.025E+32 120
321695100 2001.462 2001.495 9346.531 14.016 2.597E+33 120
321695100 1987.975 1987.982 305.415 0.980 8.485E+31 120
321695100 2031.607 2031.611 227.592 0.782 6.323E+31 120
321695100 2006.281 2006.287 132.659 0.397 3.685E+31 120
321695100 1991.609 1991.613 111.370 0.455 3.094E+31 120
318801864 1493.731 1493.738 64.748 0.199 nan 120
161640200 2671.301 2671.343 6336.029 7.212 1.457E+33 120
7975441 1527.697 1527.714 276.741 0.387 9.314E+31 120
7975441 1537.934 1537.938 73.053 0.315 2.459E+31 120
7975441 1524.344 1524.351 67.016 0.209 2.255E+31 120
7975441 1535.059 1535.063 28.973 0.094 9.751E+30 120
7975441 2248.233 2248.248 710.951 3.402 2.393E+32 20
7975441 2247.403 2247.416 405.242 1.287 1.364E+32 20
7975441 2247.931 2247.942 210.406 0.731 7.081E+31 20
7975441 2249.154 2249.165 174.190 0.441 5.862E+31 20
7975441 2251.241 2251.248 111.593 0.554 3.756E+31 20
7975441 2229.713 2229.718 45.532 0.183 1.532E+31 20
7975441 2251.646 2251.647 19.327 0.265 6.504E+30 20
7975441 2236.358 2236.359 11.991 0.257 4.036E+30 20
121013320 2424.431 2424.437 808.718 3.765 1.742E+32 120
356700988 2413.132 2413.146 1732.144 5.770 3.305E+32 120

